anio,semana,consecutivo,clave_incendio,tipo_atencion,ifae,longitud_grados,longitud_minutos,longitud_segundos,latitud_grados,latitud_minutos,latitud_segundos,cve_municipio,entidad,municipio,predio_paraje,posible_causa,posible_causa_especifica,fecha_inicio,fecha_liquidacion,categoria_duracion_dias,deteccion,llegada,duracion,tipo_incendio,tipo_vegetacion,zona_bioclimatica,regimen_fuego,clasf_primer_orden,arbolado_adulto,renuevo,arbustivo,herbaceo,hojarasca,total_ha,clasificacion_sup_afectada,area_natural_protegida,ha_anp,categoria_anp,tipo_anp,combatiente_oficial,combatiente_rural_estatal,combatiente_rural_municipal,servicios_ambientales,proteccion_forestal,combatiente_rural_nucleo_agrario,conafor_otros,conanp_oficiales,conanp_otros,sedena,semar,guardia_nacional,otras_instancias_federales,gob_estatal,pc_estatal,gob_municipal,pc_municipal,voluntarios,propietarios,ongs,silvicultores,sector_privado,ap_forestal,total_combatientes,costo_estimado_incendio,ala_fija,helicoptero,cantidad,instancias_equipo_aereo,dron,intermunicipal,intermunicipal1,interestatal,interestatal1,clave_interestatal,crmf
2025,16,1944,25-10-0174,Combate,Incendio Forestal,104,45,35.39,22,52,29.98,14,Durango,Mezquital,Com San Francisco de Ocotán / Tierra Sonando,Actividades agrícolas,Quema para preparación de siembra,2025-04-14,2025-04-17,4 a 7 Días,00:30:00,00:45:00,89:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,0.0,2.4523,2.4523,4.9046,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11290.0,0,0,0,0,0,0,,0,,0,Norte
2025,16,1945,25-10-0175,Combate,Incendio Forestal,104,30,27.8,22,45,52.59,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / La China,Actividades agrícolas,Quema para preparación de siembra,2025-04-15,2025-04-15,1 Día,01:00:00,04:00:00,16:00:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,0.0,0.0,3.8304,3.8304,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5235.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1946,25-10-0176,Combate,Incendio Forestal,106,8,24.0,25,45,45.0,9,Durango,Guanaceví,Com Bagres y Anexos / Toro Quemado,Fogatas,Fogatas,2025-04-15,2025-04-20,4 a 7 Días,00:20:00,01:25:00,124:00:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.9504,23.7601,66.5283,63.677,154.9158,Mayor a 100 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,60,4900.0,0,0,0,0,0,Tepehuanes,,0,,0,Norte
2025,16,1947,25-10-0177,Combate,Incendio Forestal,105,8,53.0,24,24,10.0,1,Durango,Canatlán,Ejido San Diego de Alcalá / Zaragoza,Fumadores,Fumadores,2025-04-15,2025-04-15,1 Día,00:05:00,00:23:00,03:00:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Moderado,0.0,0.0,0.0,54.3517,0.0,54.3517,51 a 100 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,7500.0,0,0,0,0,0,0,,0,,0,Norte
2025,16,1948,25-10-0178,Combate,Incendio Forestal,104,45,0.38,22,53,39.03,14,Durango,Mezquital,Com San Francisco de Ocotán / Cerro de las Mariposas,Fogatas,Fogatas,2025-04-17,2025-04-17,1 Día,01:00:00,01:30:00,14:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,1.3992,1.3992,1.3993,4.1977,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10235.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1949,25-10-0179,Combate,Incendio Forestal,106,32,0.0,25,10,38.0,37,Durango,Topia,Ejido Topia/ El Bajío,Actividades agrícolas,Quema para preparación de siembra,2025-04-16,2025-04-19,4 a 7 Días,00:15:00,00:42:00,67:00:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.5772,11.5442,15.3922,38.4805,65.9941,51 a 100 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,18,0,0,0,0,78,30240.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1950,25-10-0180,Combate,Incendio Forestal,104,37,16.0,23,3,18.0,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / Cerro de las Papas,Actividades agrícolas,Quema para preparación de siembra,2025-04-16,2025-04-18,2 a 3 Días,00:22:00,01:00:00,52:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,8.9732,3.1577,14.9287,27.0596,21 a 50 Hectáreas,1-N/A,0.0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10805.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1951,25-10-0181,Combate,Incendio Forestal,104,36,30.0,22,55,57.0,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / El Tambor,Fumadores,Fumadores,2025-04-18,2025-04-23,4 a 7 Días,00:02:00,00:19:00,125:00:00,Superficial,Bosque de Pino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,1.6375,5.4584,5.4585,12.5544,11 a 20 Hectáreas,1-N/A,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,14,12682.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1952,25-10-0182,Combate,Incendio Forestal,104,38,54.0,22,54,28.0,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / Aguililla,Fogatas,Fogatas,2025-04-18,2025-04-20,2 a 3 Días,00:20:00,00:45:00,60:00:00,Superficial,Bosque de Pino-Encino,Templada subhúmeda,Dependiente,Impacto Mínimo,0.0,0.0,0.0,43.3295,43.3295,86.659,51 a 100 Hectáreas,1-N/A,0.0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,8386.0,0,0,0,0,0,0,,0,,0,Norte
2025,17,1953,25-10-0183,Combate,Incendio Forestal,104,31,38.0,22,50,35.0,14,Durango,Mezquital,Com Santa María de Ocotán y Xoconoxtle / Llano Grande,Fumadores,Fumadores,2025-04-19,2025-04-19,1 Día,00:22:00,00:50:00,07:00:00,Superficial,Bosque de Pino,Templada semiárida,Influido,Impacto Mínimo,0.0,0.0,0.0,1.1832,1.1832,2.3664,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10236.0,0,0,0,0,0,0,,0,,0,Norte
